维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
S1数值	unit_cs:Bat	life_ms ↔ 官方 life_time	0	Bat:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	load_time_ms ↔ 官方 load_time	700	Bat:load_time = 700	ours=700 official=700	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	mass ↔ 官方 mass	1	Bat:mass = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	only_buildings ↔ 官方 target_only_buildings	0	Bat:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	only_towers ↔ 官方 target_only_towers	0	Bat:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	only_troops ↔ 官方 target_only_troops	0	Bat:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	radius_mt ↔ 官方 collision_radius	500	Bat:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	range_mt ↔ 官方 range	1200	Bat:range = 1200	ours=1200 official=1200	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	sight_mt ↔ 官方 sight_range	5500	Bat:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Bat:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	spawn_limit ↔ 官方 spawn_limit	0	Bat:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	spawn_n ↔ 官方 spawn_number	0	Bat:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	spawn_radius_mt ↔ 官方 spawn_radius	0	Bat:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	speed ↔ 官方 speed	120	Bat:speed = 120	ours=120 official=120	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	damage ↔ 官方 damage_per_level	131	BlowdartGoblinProjectile:damage_per_level = 131	ours=131 official=131	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BlowdartGoblinProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020079	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	key (本项目自定列)	-	本项目自定：key	ours=BlowdartGoblinProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	BlowdartGoblinProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BlowdartGoblinProjectile	speed ↔ 官方 speed	800	BlowdartGoblinProjectile:speed = 800	ours=800 official=800	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BlowdartGoblinProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BlowdartGoblinProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	damage ↔ 官方 damage_per_level	222	BombSkeletonProjectile:damage_per_level = 222	ours=222 official=222	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombSkeletonProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020065	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	key (本项目自定列)	-	本项目自定：key	ours=BombSkeletonProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	radius_mt ↔ 官方 collision_radius	1500	BombSkeletonProjectile:collision_radius = 1500	ours=1500 official=1500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombSkeletonProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	BombSkeletonProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombSkeletonProjectile	speed ↔ 官方 speed	400	BombSkeletonProjectile:speed = 400	ours=400 official=400	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombSkeletonProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombSkeletonProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	aoe_radius_mt ↔ 官方 area_damage_radius	0	BombTowerBomb:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	atk_air ↔ 官方 attacks_air	1	BombTowerBomb:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	atk_ground ↔ 官方 attacks_ground	1	BombTowerBomb:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	death_aoe_radius_mt ↔ 官方 death_damage_radius	3000	BombTowerBomb:death_damage_radius = 3000	ours=3000 official=3000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	death_damage ↔ 官方 death_damage	105	BombTowerBomb:death_damage = 105	ours=105 official=105	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	death_spawn_n ↔ 官方 death_spawn_count	0	BombTowerBomb:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	deploy_ms ↔ 官方 deploy_time	3000	BombTowerBomb:deploy_time = 3000	ours=3000 official=3000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	flying ↔ 官方 flying_height	0	BombTowerBomb:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	hit_speed_ms ↔ 官方 hit_speed	0	BombTowerBomb:hit_speed = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	id (本项目自定列)	-	本项目自定：id	ours=26020086	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	key (本项目自定列)	-	本项目自定：key	ours=BombTowerBomb	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	kind (本项目自定列)	-	本项目自定：kind	ours=1	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	life_ms ↔ 官方 life_time	0	BombTowerBomb:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	load_time_ms ↔ 官方 load_time	0	BombTowerBomb:load_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	mass ↔ 官方 mass	0	BombTowerBomb:mass = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	only_buildings ↔ 官方 target_only_buildings	0	BombTowerBomb:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	only_towers ↔ 官方 target_only_towers	0	BombTowerBomb:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	only_troops ↔ 官方 target_only_troops	0	BombTowerBomb:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	radius_mt ↔ 官方 collision_radius	450	BombTowerBomb:collision_radius = 450	ours=450 official=450	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	range_mt ↔ 官方 range	0	BombTowerBomb:range = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	sight_mt ↔ 官方 sight_range	0	BombTowerBomb:sight_range = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	BombTowerBomb:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	spawn_limit ↔ 官方 spawn_limit	0	BombTowerBomb:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	spawn_n ↔ 官方 spawn_number	0	BombTowerBomb:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	spawn_radius_mt ↔ 官方 spawn_radius	0	BombTowerBomb:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	speed ↔ 官方 speed	0	BombTowerBomb:speed = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerBomb	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerBomb	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	damage ↔ 官方 damage_per_level	222	BombTowerProjectile:damage_per_level = 222	ours=222 official=222	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020085	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	key (本项目自定列)	-	本项目自定：key	ours=BombTowerProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	radius_mt ↔ 官方 collision_radius	1500	BombTowerProjectile:collision_radius = 1500	ours=1500 official=1500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	BombTowerProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerProjectile	speed ↔ 官方 speed	500	BombTowerProjectile:speed = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BombTowerProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BombTowerProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BowlerProjectile	damage ↔ 官方 damage_per_level	288	BowlerProjectile:damage_per_level = 288	ours=288 official=288	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BowlerProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020077	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BowlerProjectile	key (本项目自定列)	-	本项目自定：key	ours=BowlerProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BowlerProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BowlerProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BowlerProjectile	radius_mt ↔ 官方 collision_radius	1800	BowlerProjectile:collision_radius = 1800	ours=1800 official=1800	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BowlerProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	BowlerProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
